nct_id,number
NCT00195091,16
NCT00195260,145
NCT00195273,35
NCT00195338,12
NCT00195351,37
NCT00195429,10
NCT00195442,136
NCT00195494,196
NCT00195507,217
NCT00195650,525
NCT00195663,520
NCT00195676,1249
NCT00195715,377
NCT00195819,22
NCT00196105,16
NCT00196196,7
NCT00196313,19
NCT00196326,986
NCT00196937,21
NCT00196976,20
NCT00197002,57
NCT00197015,216
NCT00197028,37
NCT00197054,50
NCT00197106,106
NCT00197145,34
NCT00197236,54
NCT00197496,7
NCT00198029,4
NCT00198107,11
NCT00198133,13
NCT00198822,55
NCT00199381,504
NCT00199797,3
NCT00199836,6
NCT00199849,3
NCT00199875,1
NCT00199888,1
NCT00199901,51
NCT00200057,9
NCT00200356,15
NCT00200850,10
NCT00200967,12
NCT00201006,14
NCT00201201,12
NCT00201643,9
NCT00201851,11
NCT00202644,62
NCT00202839,34
NCT00202878,4416
NCT00203021,156
NCT00203047,394
NCT00203242,1
NCT00203268,4
NCT00203294,21
NCT00203307,2
NCT00203411,4
NCT00203424,17
NCT00203476,2
NCT00203502,1
NCT00203892,4
NCT00203996,14
NCT00204477,109
NCT00205179,6
NCT00205699,15
NCT00205712,1
NCT00205777,6308
NCT00205803,65
NCT00205855,21
NCT00205881,16
NCT00206076,4
NCT00206102,723
NCT00206323,9
NCT00206375,9
NCT00206427,2
NCT00206440,9
NCT00206518,16
NCT00206726,51
NCT00207090,7
NCT00207142,61
NCT00207714,44
NCT00207727,192
NCT00207740,153
NCT00208325,133
NCT00208767,34
NCT00209027,10
NCT00209092,10
NCT00209131,26
NCT00209170,5
NCT00209274,118
NCT00209339,40
NCT00209560,1
NCT00210106,14
NCT00210119,2
NCT00210184,2
NCT00210249,16
NCT00210626,93
NCT00210639,105
NCT00211081,2
NCT00211172,71
NCT00211185,20
NCT00211237,60
NCT00211510,8
